cod_proposta;cod_cliente;cod_colaborador;data_entrada_proposta;horario_entrada_proposta;taxa_juros_mensal;valor_proposta;valor_financiamento;valor_entrada;valor_prestacao;quantidade_parcelas;carencia;status_proposta
886;138;4;26/06/2016;23:19:30;0.0201;17467.40;25261.08;7793.68;522.54;56;1;Enviada
1045;934;4;15/05/2016;21:08:53;0.0212;180566.24;239033.99;58467.75;13425.47;16;3;Enviada
1566;648;4;07/10/2015;14:06:02;0.0165;15578.91;30167.01;14588.10;4056.70;4;4;Enviada
1573;395;4;20/01/2013;11:07:21;0.0125;131608.20;167117.91;35509.71;2490.08;87;3;Enviada
23;358;5;30/05/2020;04:42:27;0.0113;13338.29;18727.61;5389.32;252.24;81;0;Enviada
352;249;5;06/12/2014;01:59:40;0.0093;27214.51;33278.95;6064.44;3166.18;9;3;Enviada
1291;928;5;30/12/2013;18:42:28;0.024;101775.63;147301.56;45525.93;9206.44;13;4;Enviada
308;335;6;09/08/2022;15:51:27;0.0204;138074.89;177330.72;39255.83;3698.41;71;3;Enviada
1120;114;6;04/10/2011;08:23:32;0.0129;6214.07;9537.71;3323.64;282.84;26;4;Enviada
1390;806;6;15/11/2018;02:42:49;0.0243;103211.59;124934.78;21723.19;5401.37;26;2;Enviada
1639;827;6;09/12/2013;22:00:45;0.0129;155881.86;206120.59;50238.73;3091.64;82;2;Enviada
72;983;7;21/03/2022;04:49:19;0.0108;60091.11;109302.14;49211.03;2755.60;25;1;Enviada
1121;572;8;07/01/2010;12:30:10;0.0247;185357.39;234345.58;48988.19;4913.90;110;2;Enviada
1669;65;8;24/09/2022;01:37:57;0.0179;88993.97;116726.64;27732.67;1851.35;111;5;Enviada
906;787;10;17/09/2015;07:18:09;0.0157;106954.15;183309.59;76355.44;2471.99;73;4;Enviada
1861;905;10;20/02/2012;12:54:02;0.021;2130.44;2850.11;719.67;70.04;49;3;Enviada
1911;127;10;17/02/2021;16:43:26;0.0159;55943.24;72010.93;16067.69;1425.58;62;5;Enviada
1956;336;10;20/11/2015;19:09:20;0.0165;62196.85;81395.72;19198.87;2031.15;43;2;Enviada
487;635;11;05/05/2015;18:40:19;0.0182;13134.53;20036.49;6901.96;355.12;62;4;Enviada
553;511;11;07/04/2014;09:13:03;0.0084;54924.84;67689.85;12765.01;1498.33;44;3;Enviada
87;528;12;03/07/2021;18:31:08;0.0178;54837.44;80436.10;25598.66;1182.23;99;0;Enviada
230;561;12;17/06/2014;01:23:40;0.0117;177882.89;225362.93;47480.04;20938.93;9;3;Enviada
478;551;12;06/01/2016;08:08:03;0.0223;80871.28;113384.93;32513.65;2038.15;98;3;Enviada
1222;876;12;18/07/2018;09:59:32;0.0095;56134.72;77171.78;21037.06;2159.26;30;6;Enviada
1413;498;12;21/08/2020;12:01:47;0.0177;1702.59;2118.23;415.64;97.78;21;1;Enviada
1728;545;12;17/12/2017;12:46:31;0.019;31701.49;49986.53;18285.04;675.64;118;1;Enviada
1875;973;12;28/05/2017;06:08:20;0.0127;113668.20;145713.86;32045.66;5335.22;25;2;Enviada
53;489;13;30/11/2021;01:11:53;0.0123;68601.86;90359.89;21758.03;1305.72;85;5;Enviada
576;905;13;29/07/2018;06:28:27;0.0136;74902.22;108072.51;33170.29;1599.37;75;0;Enviada
673;927;13;20/07/2020;09:16:36;0.0213;122043.34;193809.71;71766.37;4187.84;46;4;Enviada
875;429;13;04/02/2019;17:53:39;0.0169;142939.10;185095.87;42156.77;73286.36;2;3;Enviada
1159;332;15;14/08/2017;11:30:11;0.0123;12489.68;19344.59;6854.91;326.56;52;4;Enviada
1339;429;15;10/11/2015;13:13:00;0.0194;36926.13;44548.77;7622.64;996.83;66;0;Enviada
1846;642;15;13/02/2018;23:35:58;0.0119;117394.81;227027.50;109632.69;7668.48;17;1;Enviada
22;355;16;14/05/2021;18:13:36;0.0087;31123.47;42496.51;11373.04;496.49;91;6;Enviada
46;575;16;14/03/2019;04:06:15;0.0209;43183.00;78427.34;35244.34;986.70;119;6;Enviada
839;174;16;05/10/2019;15:24:50;0.0223;145336.82;195421.72;50084.90;16375.16;10;2;Enviada
896;705;16;24/04/2012;11:31:09;0.0101;114732.00;216856.25;102124.25;1838.67;99;5;Enviada
1251;533;16;23/04/2017;00:37:41;0.0195;26362.31;33955.36;7593.05;1673.69;19;4;Enviada
1393;853;16;05/06/2012;20:29:13;0.0131;30487.99;52975.78;22487.79;823.34;51;0;Enviada
1540;984;16;17/03/2022;00:37:06;0.0237;134454.66;170958.40;36503.74;3953.81;70;3;Enviada
1799;688;16;14/01/2015;05:30:39;0.0101;152770.39;208553.81;55783.42;2273.23;113;2;Enviada
483;28;17;03/04/2015;04:34:11;0.0106;13056.94;18009.22;4952.28;285.16;63;3;Enviada
508;857;17;21/08/2017;18:47:21;0.0082;21295.36;40141.99;18846.63;286.72;115;1;Enviada
687;2;17;18/06/2014;12:27:41;0.0184;59582.47;89576.90;29994.43;1263.25;111;3;Enviada
1602;858;17;01/08/2017;09:32:19;0.0225;12469.46;20343.34;7873.88;322.16;92;6;Enviada
1815;192;17;25/07/2019;02:13:59;0.0216;57306.66;77305.08;19998.42;58544.49;1;0;Enviada
104;921;18;02/04/2012;08:36:34;0.019;19286.33;35071.35;15785.02;419.33;110;4;Enviada
231;189;18;10/12/2016;16:16:53;0.0218;4663.69;8762.78;4099.09;113.18;106;2;Enviada
302;448;18;16/02/2013;23:46:50;0.0133;206514.64;246916.06;40401.42;8172.77;31;6;Enviada
306;813;18;31/03/2011;22:02:19;0.0195;61031.81;102755.99;41724.18;6776.70;10;5;Enviada
353;750;18;15/04/2012;06:14:28;0.0153;108348.99;197148.24;88799.25;3856.77;37;4;Enviada
359;903;18;06/05/2012;08:07:37;0.0165;112299.60;167978.57;55678.97;2657.71;73;5;Enviada
505;853;18;18/02/2011;11:55:27;0.0087;133575.20;228888.78;95313.58;2247.99;84;2;Enviada
1466;105;18;16/08/2015;04:19:44;0.0182;101145.62;194336.22;93190.60;2263.89;93;1;Enviada
1914;523;18;15/07/2017;05:48:38;0.0084;173873.84;225277.05;51403.21;3104.54;76;2;Enviada
1920;516;18;21/02/2020;21:40:43;0.0203;53781.13;63393.69;9612.56;1475.66;67;6;Enviada
88;194;19;03/10/2012;08:20:31;0.0105;70119.78;134983.88;64864.10;3738.11;21;6;Enviada
413;715;19;11/04/2017;21:53:37;0.0119;18053.35;33305.88;15252.53;1120.15;18;0;Enviada
535;367;19;17/10/2017;15:19:55;0.0175;143356.77;183308.52;39951.75;3236.78;86;1;Enviada
552;804;19;13/10/2018;22:25:25;0.0139;104362.53;132399.37;28036.84;1956.38;98;4;Enviada
685;845;19;15/05/2011;21:38:19;0.0103;49646.84;91935.02;42288.18;1063.15;64;3;Enviada
1126;213;19;04/03/2021;09:06:04;0.0095;87235.55;103873.90;16638.35;44240.31;2;5;Enviada
1113;70;20;06/01/2021;05:30:01;0.0201;71453.78;104460.86;33007.08;1663.61;100;4;Enviada
180;641;21;11/09/2013;23:11:48;0.0192;162205.41;233950.18;71744.77;3769.63;92;5;Enviada
1515;845;21;24/09/2018;09:20:31;0.0143;51909.58;67405.30;15495.72;1816.47;37;2;Enviada
289;175;22;17/12/2013;23:03:46;0.0195;37514.33;67230.70;29716.37;811.48;120;4;Enviada
467;522;22;07/04/2010;07:20:32;0.0178;150255.60;222421.41;72165.81;9829.55;18;6;Enviada
1235;359;22;08/01/2021;21:11:43;0.0116;187941.97;225117.54;37175.57;190122.09;1;6;Enviada
1555;562;22;05/05/2017;11:31:55;0.0102;125720.20;211913.34;86193.14;2186.74;87;6;Enviada
1726;56;22;24/05/2014;22:58:13;0.0149;57910.76;77127.49;19216.73;3691.73;18;4;Enviada
375;426;23;20/05/2021;01:38:29;0.0093;3655.90;4480.41;824.51;61.02;88;5;Enviada
540;132;23;09/01/2019;10:20:07;0.0199;161533.19;194033.52;32500.33;83185.39;2;2;Enviada
1227;58;23;05/04/2016;14:42:14;0.0141;100950.48;188223.70;87273.22;2478.37;61;0;Enviada
1337;647;23;06/07/2014;00:41:42;0.024;80642.27;161191.34;80549.07;2162.66;95;0;Enviada
448;789;24;11/11/2017;05:58:58;0.0173;32661.58;50022.95;17361.37;833.86;66;4;Enviada
1327;493;24;23/10/2014;18:49:28;0.0105;119643.05;148560.12;28917.07;2445.98;69;4;Enviada
1409;95;24;21/06/2011;01:03:38;0.0179;36968.35;44757.84;7789.49;788.56;103;4;Enviada
1579;243;24;12/03/2015;19:56:53;0.0152;52774.42;67777.71;15003.29;1875.35;37;5;Enviada
165;651;25;07/11/2011;03:16:25;0.0222;188359.28;232132.96;43773.68;7268.74;39;3;Enviada
1608;984;25;05/06/2022;16:09:28;0.0195;140012.87;177600.69;37587.82;3818.48;65;0;Enviada
1766;827;25;27/08/2016;00:32:46;0.0129;171210.94;216152.24;44941.30;3120.19;96;0;Enviada
1238;626;26;17/08/2021;14:36:04;0.0122;111520.32;192191.31;80670.99;2011.95;93;2;Enviada
1518;504;26;19/03/2022;10:28:19;0.0177;133231.81;164079.95;30848.14;3622.38;60;5;Enviada
1718;379;26;21/08/2011;17:37:22;0.0117;162981.10;207719.18;44738.08;3057.87;84;4;Enviada
1739;317;26;22/06/2012;15:23:21;0.0203;25262.26;29962.47;4700.21;708.64;64;3;Enviada
109;902;27;18/10/2013;06:45:28;0.025;155048.82;208071.45;53022.63;9580.05;21;1;Enviada
567;93;27;08/07/2017;19:14:41;0.0103;174401.49;211234.22;36832.73;3410.46;73;0;Enviada
598;430;27;24/11/2022;12:17:31;0.023;33410.55;44022.51;10611.96;1374.77;36;1;Enviada
660;897;27;07/09/2017;00:35:08;0.0144;33846.45;64823.80;30977.35;1011.29;46;4;Enviada
730;897;27;29/04/2016;06:19:53;0.0249;75215.69;129792.02;54576.33;1993.64;114;4;Enviada
1214;371;27;14/08/2019;01:41:27;0.0115;88692.00;149447.05;60755.05;2342.33;50;5;Enviada
1370;808;27;10/08/2013;13:42:59;0.0223;147410.70;193379.48;45968.78;4259.02;67;5;Enviada
1457;770;27;04/07/2014;00:46:18;0.0194;16914.96;21365.48;4450.52;467.48;63;3;Enviada
1477;624;27;28/07/2016;02:44:22;0.0161;10901.78;15435.03;4533.25;212.13;110;5;Enviada
1489;584;27;22/09/2019;04:04:37;0.0163;18896.79;26491.41;7594.62;570.62;48;5;Enviada
1547;638;27;07/01/2017;06:23:03;0.0233;44760.81;61835.32;17074.51;1541.62;49;5;Enviada
1820;358;27;26/11/2022;09:59:44;0.0245;21065.28;25728.28;4663.00;587.64;87;0;Enviada
1889;436;27;17/08/2016;15:37:28;0.0207;75825.31;113859.74;38034.43;9320.83;9;6;Enviada
1975;643;27;05/06/2015;05:54:51;0.0182;100319.06;180144.45;79825.39;26231.19;4;5;Enviada
432;384;28;15/06/2017;20:54:41;0.0148;80997.74;149598.05;68600.31;1966.89;64;5;Enviada
513;82;28;30/01/2019;07:56:41;0.0129;122515.33;219782.20;97266.87;3205.50;53;2;Enviada
580;35;29;17/04/2017;20:55:15;0.0149;166473.24;229462.99;62989.75;5885.49;37;0;Enviada
605;20;29;17/08/2014;05:37:13;0.0083;82690.20;120311.64;37621.44;1394.23;82;3;Enviada
895;674;29;24/07/2020;15:00:23;0.021;94843.85;140271.31;45427.46;2363.48;89;1;Enviada
922;327;29;16/08/2010;22:49:10;0.0229;159260.11;223323.45;64063.34;10014.52;20;2;Enviada
935;593;30;25/05/2018;03:45:13;0.0192;166721.96;233975.80;67253.84;3923.06;89;4;Enviada
1411;107;30;16/05/2014;01:07:04;0.017;74705.40;118591.27;43885.87;1590.69;95;4;Enviada
1679;845;30;05/12/2021;06:09:15;0.0146;15546.42;20258.27;4711.85;597.04;33;0;Enviada
1859;506;30;10/02/2016;09:05:00;0.0182;102314.92;179501.93;77187.01;4830.16;27;5;Enviada
428;737;31;08/11/2015;04:06:23;0.0219;102033.68;167087.88;65054.20;4374.93;33;3;Enviada
442;255;31;30/09/2014;14:54:07;0.0235;36427.42;71192.80;34765.38;931.88;108;6;Enviada
1132;819;31;07/05/2017;23:00:05;0.0212;100487.26;124271.71;23784.45;9572.20;12;4;Enviada
1404;424;31;11/08/2021;15:33:28;0.0099;72467.68;90672.57;18204.89;1386.05;74;0;Enviada
1793;587;31;23/05/2013;14:26:35;0.0215;110456.16;135753.05;25296.89;4019.99;42;1;Enviada
1876;769;31;19/08/2015;02:41:58;0.0082;74808.24;91810.14;17001.90;1012.53;114;1;Enviada
32;684;32;19/05/2019;10:55:50;0.0177;150541.81;214230.17;63688.36;12234.65;14;2;Enviada
841;266;32;25/11/2022;04:38:38;0.022;97160.59;175982.06;78821.47;3297.90;48;3;Enviada
1074;574;32;27/01/2019;07:14:07;0.0096;20823.66;38488.39;17664.73;851.67;28;3;Enviada
1118;776;32;21/10/2017;23:50:07;0.01;34437.44;47305.91;12868.47;1563.69;25;2;Enviada
1170;523;32;10/04/2011;08:39:58;0.0111;36747.68;50821.87;14074.19;591.44;106;4;Enviada
1616;15;32;22/11/2016;03:43:25;0.0225;3962.74;4673.56;710.82;248.23;20;4;Enviada
1655;469;32;23/05/2014;12:01:59;0.0087;200491.47;244528.99;44037.52;3295.17;87;0;Enviada
1893;752;32;30/03/2012;03:11:02;0.0116;103142.28;124541.11;21398.83;1712.54;104;0;Enviada
1969;292;32;12/07/2016;00:18:43;0.0223;125222.82;211143.14;85920.32;8931.16;17;3;Enviada
784;516;33;26/10/2011;17:14:53;0.0111;80533.99;151718.99;71185.00;1410.46;91;4;Enviada
1099;621;33;10/10/2015;19:35:33;0.0157;11569.14;19598.82;8029.68;258.26;78;3;Enviada
1512;895;33;19/11/2020;13:33:14;0.0179;99892.97;174480.38;74587.41;5156.65;24;3;Enviada
1983;254;33;10/05/2013;08:36:58;0.0184;113321.08;146660.88;33339.80;5883.37;24;4;Enviada
64;137;34;06/10/2019;21:06:21;0.0114;8110.36;11113.79;3003.43;1406.17;6;6;Enviada
381;36;34;25/11/2014;02:21:19;0.0115;26168.87;32190.33;6021.46;449.06;97;4;Enviada
424;499;34;06/06/2013;19:59:26;0.0165;110943.31;133251.92;22308.61;3512.31;45;1;Enviada
548;460;34;01/08/2010;23:14:29;0.0081;42091.20;84055.68;41964.48;1385.95;35;5;Enviada
912;602;34;03/08/2017;20:08:25;0.0206;5554.13;8454.51;2900.38;175.04;52;6;Enviada
704;985;35;13/10/2012;16:59:01;0.0131;23099.80;29012.83;5913.03;671.76;46;1;Enviada
1269;406;35;02/12/2016;05:25:31;0.0126;17118.33;25249.57;8131.24;776.22;26;2;Enviada
149;672;36;12/01/2013;20:16:52;0.0191;4958.79;5938.39;979.60;107.65;112;4;Enviada
956;551;36;22/11/2017;10:39:06;0.0153;37977.11;48504.95;10527.84;693.12;120;3;Enviada
1066;534;36;22/11/2019;19:41:04;0.0104;21706.49;42951.18;21244.69;1399.66;17;6;Enviada
1145;849;36;11/01/2021;01:56:28;0.0202;134658.77;175034.36;40375.59;3358.82;83;5;Enviada
200;772;37;27/03/2019;21:33:20;0.0183;46919.15;60001.44;13082.29;988.28;112;1;Enviada
516;644;37;11/08/2019;02:24:45;0.0218;91145.04;110898.60;19753.56;2260.02;98;0;Enviada
588;699;37;02/08/2019;03:10:15;0.0106;136688.45;243963.78;107275.33;2364.14;90;6;Enviada
972;711;37;23/06/2010;07:04:18;0.0221;105666.05;159567.04;53900.99;2840.34;79;6;Enviada
982;936;37;02/04/2018;22:24:01;0.0138;49850.37;65947.41;16097.04;1071.13;75;4;Enviada
1067;986;37;04/09/2022;04:31:22;0.0093;104304.80;190050.37;85745.57;1740.94;88;1;Enviada
1322;128;37;09/12/2013;03:13:48;0.018;134672.44;193374.09;58701.65;2796.61;113;3;Enviada
1781;578;37;06/11/2018;22:04:53;0.0241;58488.39;116856.02;58367.63;2896.48;28;5;Enviada
1814;870;37;18/05/2012;17:16:23;0.0127;56948.17;81043.30;24095.13;1035.46;95;3;Enviada
1842;214;37;22/02/2022;13:33:14;0.0201;98835.31;146726.00;47890.69;4650.26;28;6;Enviada
1932;410;37;22/08/2016;10:08:51;0.0211;138943.56;199461.47;60517.91;3291.60;106;1;Enviada
824;843;38;09/08/2011;00:28:33;0.0208;72284.28;126768.15;54483.87;4644.51;19;2;Enviada
162;289;39;25/11/2018;02:54:13;0.02;32620.62;46158.58;13537.96;1783.31;23;6;Enviada
215;245;39;28/02/2021;18:17:15;0.0103;64763.51;108663.15;43899.64;1023.15;103;1;Enviada
681;986;39;24/06/2020;18:38:26;0.0112;79704.96;108450.48;28745.52;3950.19;23;3;Enviada
1462;252;39;10/01/2022;21:42:55;0.009;115885.32;210424.71;94539.39;3971.63;34;5;Enviada
1764;828;39;30/12/2021;15:55:20;0.0161;53741.01;76298.13;22557.12;1029.22;115;2;Enviada
182;27;40;16/12/2019;11:31:22;0.0089;90173.76;127367.03;37193.27;3541.70;29;2;Enviada
1254;607;40;11/02/2014;11:29:35;0.0215;21075.99;39323.96;18247.97;1009.70;28;2;Enviada
1260;662;40;10/12/2012;19:58:43;0.0092;46674.15;90265.84;43591.69;1646.36;33;4;Enviada
1845;528;40;11/08/2021;11:59:58;0.0129;51805.02;97392.24;45587.22;949.16;95;6;Enviada
1870;786;40;04/07/2021;20:22:20;0.0236;67383.15;99727.99;32344.84;2849.99;35;2;Enviada
691;713;41;16/08/2012;14:41:07;0.008;141939.18;245172.53;103233.35;2949.74;61;0;Enviada
1124;144;41;18/02/2016;07:47:02;0.0226;3067.28;4776.17;1708.89;172.48;23;5;Enviada
1314;93;41;26/01/2010;07:02:23;0.0183;27087.45;37943.10;10855.65;603.46;95;1;Enviada
1638;784;41;18/07/2010;18:46:14;0.0186;154093.17;224203.36;70110.19;3901.09;72;2;Enviada
1650;638;41;29/11/2018;16:22:41;0.021;71752.24;104875.69;33123.45;1645.55;119;6;Enviada
1686;800;41;06/05/2018;19:19:27;0.0111;177277.25;232496.10;55218.85;3047.44;94;3;Enviada
325;290;42;04/06/2012;21:12:18;0.0127;59307.65;81807.65;22500.00;1767.72;44;4;Enviada
338;712;42;02/10/2020;12:27:15;0.0229;80924.74;130001.32;49076.58;2678.34;52;2;Enviada
1177;828;42;02/09/2016;01:17:34;0.0145;36533.84;60981.72;24447.88;3617.14;11;5;Enviada
584;355;43;02/01/2022;06:37:34;0.018;50411.29;95061.64;44650.35;1668.45;44;1;Enviada
1009;472;43;14/04/2021;23:45:03;0.0121;92799.68;110491.76;17692.08;4646.42;23;5;Enviada
1246;736;43;15/03/2020;21:31:47;0.0116;188058.53;241025.27;52966.74;4419.38;59;4;Enviada
1570;118;43;17/01/2013;04:29:17;0.0176;188145.67;237620.42;49474.75;8126.01;30;5;Enviada
1759;42;43;19/01/2021;09:33:14;0.0235;164590.18;199065.77;34475.59;8780.73;25;5;Enviada
1818;807;43;22/04/2015;15:43:04;0.0234;99051.99;173346.11;74294.12;13720.43;8;2;Enviada
599;425;44;30/04/2011;04:56:48;0.008;169146.01;241497.60;72351.59;2209.01;119;3;Enviada
213;543;45;19/08/2017;10:27:16;0.0137;119207.20;161992.55;42785.35;2217.60;98;6;Enviada
313;410;45;26/12/2010;12:16:43;0.0243;53872.91;98115.43;44242.52;1521.56;82;4;Enviada
323;995;45;06/05/2017;14:13:49;0.0212;79058.02;122381.21;43323.19;1916.17;99;3;Enviada
725;74;45;30/10/2013;07:25:35;0.0164;34692.12;50829.70;16137.58;904.14;61;3;Enviada
854;69;45;17/10/2011;05:46:43;0.0088;142570.85;249417.73;106846.88;4531.34;37;6;Enviada
1038;869;45;11/10/2021;21:46:17;0.0242;110637.04;151119.98;40482.94;5006.87;32;6;Enviada
1055;487;45;03/01/2018;23:02:39;0.0113;47878.02;86591.03;38713.01;1222.63;52;3;Enviada
1507;442;45;28/06/2016;03:46:21;0.0245;44850.46;74367.28;29516.82;4700.83;11;5;Enviada
1604;951;45;08/05/2012;17:22:56;0.0214;156615.47;187324.21;30708.74;4336.57;70;0;Enviada
1635;309;45;01/01/2016;02:48:16;0.0174;124807.59;156702.31;31894.72;2767.83;89;1;Enviada
1682;561;45;16/08/2012;07:19:49;0.0111;101157.39;141781.50;40624.11;4824.43;24;0;Enviada
610;99;46;14/06/2013;01:53:47;0.0222;32896.76;39518.72;6621.96;826.40;98;2;Enviada
767;791;46;22/04/2012;07:35:34;0.0167;86229.18;150698.48;64469.30;22464.76;4;4;Enviada
946;600;46;26/12/2020;09:55:29;0.0237;10416.91;15278.88;4861.97;311.79;67;3;Enviada
978;659;46;19/11/2013;15:32:03;0.0146;123652.70;229884.11;106231.41;2958.55;65;2;Enviada
1475;645;46;25/03/2012;02:52:19;0.0229;112197.95;134935.01;22737.06;2845.62;103;3;Enviada
1936;143;46;13/09/2017;23:31:27;0.0172;68323.02;84116.03;15793.01;2297.82;42;5;Enviada
427;671;47;18/07/2016;06:24:40;0.0085;161195.63;219424.00;58228.37;3165.60;67;6;Enviada
882;165;47;05/01/2013;16:19:41;0.0182;130289.14;158741.84;28452.70;15825.61;9;4;Enviada
437;646;48;01/07/2017;00:57:57;0.0223;102471.71;139788.66;37316.95;3315.15;53;1;Enviada
1597;256;48;10/02/2011;21:05:16;0.0123;31638.70;48318.00;16679.30;3381.83;10;5;Enviada
1994;222;48;10/03/2012;22:40:21;0.0146;182080.64;225724.15;43643.51;3505.26;98;3;Enviada
491;193;49;18/12/2014;17:39:14;0.0153;69834.69;126972.97;57138.28;1335.56;106;2;Enviada
629;872;49;16/11/2016;15:09:53;0.0214;45029.86;58377.64;13347.78;1198.33;77;1;Enviada
973;754;49;21/09/2018;11:46:41;0.0107;112058.13;216639.65;104581.52;2161.79;76;6;Enviada
1164;276;49;15/09/2022;04:18:16;0.0178;81768.64;163246.11;81477.47;1709.82;108;1;Enviada
1186;922;49;22/06/2012;12:24:15;0.0149;103774.64;126481.67;22707.03;1904.25;113;4;Enviada
1205;439;49;09/06/2011;04:17:45;0.0191;173133.52;236271.15;63137.63;4536.42;69;4;Enviada
1354;712;49;30/11/2016;20:34:04;0.0171;89012.96;158863.72;69850.76;2088.01;77;3;Enviada
1921;51;49;20/02/2022;19:00:42;0.016;107165.07;165158.72;57993.65;2212.16;94;3;Enviada
1548;965;50;21/12/2020;19:50:19;0.0102;75743.01;100845.96;25102.95;1971.82;49;6;Enviada
170;23;51;14/09/2015;03:02:11;0.0187;76505.07;94013.94;17508.87;16170.00;5;2;Enviada
272;912;51;13/10/2011;23:37:57;0.0156;27855.31;51968.60;24113.29;516.38;119;0;Enviada
472;806;51;21/04/2011;01:58:34;0.0105;102638.22;124608.80;21970.58;5046.32;23;4;Enviada
1094;414;51;22/01/2015;16:32:59;0.0087;39981.23;55367.03;15385.80;1040.05;47;6;Enviada
1283;7;51;28/04/2019;21:12:55;0.0135;115084.66;190093.65;75008.99;2907.46;57;2;Enviada
1600;498;51;13/05/2017;12:26:48;0.0129;139121.30;219039.21;79917.91;2285.58;120;3;Enviada
1749;417;51;26/08/2011;02:37:13;0.0137;171358.66;238501.49;67142.83;4037.84;64;1;Enviada
804;734;52;19/08/2021;04:07:12;0.0115;57709.83;68976.53;11266.70;1385.89;57;5;Enviada
818;34;52;11/06/2012;12:58:01;0.0116;29117.43;42525.57;13408.14;469.90;110;4;Enviada
920;911;52;25/09/2020;07:08:27;0.0103;42931.19;73757.17;30825.98;624.91;120;4;Enviada
1581;581;52;19/07/2014;07:38:52;0.0139;67933.35;115153.35;47220.00;1453.27;76;6;Enviada
1644;982;52;18/04/2022;13:58:35;0.0153;176429.51;236059.85;59630.34;3518.36;96;2;Enviada
1757;83;52;02/09/2015;22:18:36;0.0237;32836.10;53486.63;20650.53;1242.94;42;2;Enviada
54;261;53;30/01/2016;14:30:43;0.0182;72148.10;133986.48;61838.38;1490.53;118;6;Enviada
206;520;53;13/06/2016;01:20:17;0.0145;144955.26;212496.89;67541.63;2742.63;101;1;Enviada
788;118;53;18/09/2021;11:00:39;0.0224;16507.03;30524.88;14017.85;1307.85;15;2;Enviada
897;876;53;02/10/2019;14:10:40;0.0249;71852.57;129520.15;57667.58;2554.60;49;1;Enviada
1020;264;53;07/08/2010;03:50:13;0.0126;100570.21;186753.92;86183.71;1765.71;101;2;Enviada
1036;9;53;12/02/2021;15:45:40;0.0094;7407.43;9572.69;2165.26;218.55;41;4;Enviada
1245;716;53;12/01/2022;07:49:01;0.0153;163396.47;218434.06;55037.59;7218.41;28;0;Enviada
1424;124;53;17/08/2011;04:00:58;0.0086;157556.26;229150.72;71594.46;11993.37;14;2;Enviada
1826;616;53;04/09/2010;06:46:21;0.0142;152168.84;183687.90;31519.06;4213.62;51;5;Enviada
1931;899;53;28/04/2011;12:55:00;0.0238;37488.76;74713.76;37225.00;1028.25;86;6;Enviada
357;213;54;28/09/2014;06:01:14;0.0098;127569.62;150784.84;23215.22;3142.96;52;5;Enviada
418;53;54;06/06/2015;09:13:32;0.0145;39243.68;55878.50;16634.82;705.79;114;0;Enviada
