cod_transacao;num_conta;data_transacao;horario_transacao;nome_transacao;valor_transacao
49018;773;27/04/2020;08:10:04;Saque;-155.00
51264;773;20/06/2020;12:06:33;Saque;-315.00
62479;773;05/07/2020;21:19:05;Saque;-350.00
17220;6;04/10/2010;12:27:37;Saque;-310.00
28307;6;20/10/2013;02:43:00;Saque;-105.00
56011;6;03/03/2016;17:37:12;Saque;-125.00
62369;6;24/09/2016;23:09:00;Saque;-35.00
68342;6;02/10/2016;12:50:28;Saque;-570.00
19072;262;08/08/2021;03:00:34;Saque;-100.00
39236;262;11/12/2022;07:56:38;Saque;-45.00
57340;262;29/12/2022;23:58:50;Saque;-20.00
15972;518;24/02/2020;16:47:31;Saque;-100.00
22464;518;07/04/2020;13:32:29;Saque;-510.00
23183;518;15/04/2020;05:11:53;Saque;-155.00
29191;518;13/02/2021;18:55:14;Saque;-170.00
6423;774;06/09/2018;15:52:37;Saque;-305.00
16296;774;31/05/2019;00:51:25;Saque;-200.00
30517;774;06/07/2019;07:36:03;Saque;-155.00
33510;774;01/08/2019;18:27:42;Saque;-255.00
7673;7;24/03/2022;01:51:06;Saque;-145.00
9816;7;19/06/2022;15:30:05;Saque;-145.00
23723;7;17/10/2022;21:49:29;Saque;-165.00
59321;7;30/12/2022;00:00:01;Saque;-125.00
71149;263;30/12/2022;00:00:00;Saque;-120.00
39583;775;31/10/2019;15:06:29;Saque;-3085.00
3465;8;15/11/2021;08:08:51;Saque;-80.00
34732;8;03/12/2022;19:40:59;Saque;-55.00
66930;8;30/12/2022;00:00:00;Saque;-190.00
13173;520;03/02/2021;14:42:05;Saque;-135.00
19295;520;06/03/2021;21:44:46;Saque;-125.00
21769;520;03/08/2021;20:53:09;Saque;-215.00
33666;520;18/12/2021;20:44:46;Saque;-110.00
52095;776;29/12/2022;00:00:00;Saque;-90.00
12181;9;30/12/2022;16:23:14;Saque;-265.00
44978;9;30/12/2022;16:23:14;Saque;-85.00
59499;9;30/12/2022;16:23:14;Saque;-575.00
32179;265;25/03/2020;14:19:44;Saque;-95.00
54854;265;08/01/2021;02:24:48;Saque;-440.00
55815;265;15/09/2022;14:01:10;Saque;-285.00
8052;521;17/11/2022;13:54:52;Saque;-160.00
30093;521;29/12/2022;16:05:00;Saque;-365.00
48929;521;30/12/2022;00:00:00;Saque;-100.00
51308;777;29/12/2022;00:00:00;Saque;-140.00
59011;777;29/12/2022;00:00:00;Saque;-80.00
22540;10;12/05/2021;05:55:06;Saque;-130.00
29438;10;12/06/2022;21:06:15;Saque;-80.00
44734;10;27/12/2022;09:14:06;Saque;-445.00
12388;266;11/10/2016;03:08:19;Saque;-40.00
15810;266;05/12/2018;17:29:21;Saque;-210.00
24977;266;02/02/2020;18:07:07;Saque;-180.00
27283;266;16/02/2020;11:05:34;Saque;-1140.00
38718;266;03/07/2020;18:27:26;Saque;-270.00
43848;266;19/10/2020;16:14:57;Saque;-120.00
44722;266;19/10/2020;18:48:18;Saque;-50.00
36117;522;23/04/2018;22:38:54;Saque;-300.00
56909;522;24/08/2020;03:29:35;Saque;-75.00
18149;11;01/08/2012;18:04:04;Saque;-235.00
38618;11;15/09/2014;19:49:41;Saque;-145.00
44427;11;16/09/2014;06:19:39;Saque;-175.00
56189;11;19/12/2022;06:42:23;Saque;-655.00
63414;11;29/12/2022;22:19:40;Saque;-95.00
22955;267;29/12/2022;23:56:15;Saque;-840.00
46180;267;30/12/2022;00:00:00;Saque;-75.00
3645;523;02/06/2013;03:31:37;Saque;-65.00
38984;523;29/12/2013;11:10:50;Saque;-55.00
42980;523;30/12/2013;09:53:21;Saque;-95.00
58561;523;06/06/2014;02:23:18;Saque;-230.00
14936;779;07/08/2014;09:01:46;Saque;-45.00
15752;779;11/08/2014;03:11:17;Saque;-210.00
33537;779;17/01/2015;21:35:01;Saque;-115.00
35323;779;28/07/2016;01:14:04;Saque;-240.00
53676;779;14/09/2020;00:49:23;Saque;-240.00
65848;779;23/03/2021;02:57:31;Saque;-65.00
66934;779;24/03/2021;19:44:04;Saque;-100.00
6103;12;06/02/2016;19:59:11;Saque;-90.00
37428;12;29/03/2017;13:23:46;Saque;-45.00
17606;524;19/08/2022;15:02:48;Saque;-255.00
65455;524;29/12/2022;18:47:18;Saque;-115.00
9687;780;03/06/2018;14:36:08;Saque;-250.00
12757;780;06/06/2018;08:38:27;Saque;-370.00
43121;780;01/11/2021;00:26:10;Saque;-690.00
65293;780;18/01/2022;15:06:53;Saque;-145.00
1798;13;08/01/2023;07:02:40;Saque;-20.00
27639;269;25/05/2018;23:55:30;Saque;-25.00
33570;269;14/08/2018;13:18:40;Saque;-225.00
54788;269;09/09/2019;00:51:33;Saque;-70.00
56452;269;07/11/2019;23:12:46;Saque;-350.00
60876;269;18/11/2019;17:09:23;Saque;-215.00
43403;525;03/06/2016;06:17:57;Saque;-190.00
45386;525;15/06/2016;03:09:39;Saque;-40.00
58995;525;05/10/2017;00:51:26;Saque;-100.00
71831;525;21/10/2017;07:21:47;Saque;-1330.00
2923;781;27/09/2014;23:58:03;Saque;-145.00
8520;781;31/10/2014;20:11:12;Saque;-320.00
15369;781;18/04/2015;10:49:24;Saque;-170.00
15704;781;19/04/2015;04:40:56;Saque;-385.00
21972;781;19/10/2015;00:46:51;Saque;-185.00
16383;14;05/08/2022;04:18:10;Saque;-165.00
45047;14;29/12/2022;18:35:12;Saque;-90.00
30353;270;10/12/2021;01:55:16;Saque;-195.00
55044;526;18/09/2022;11:47:22;Saque;-40.00
63896;526;10/12/2022;00:41:24;Saque;-345.00
67818;526;29/12/2022;11:49:03;Saque;-325.00
16318;782;14/03/2019;12:17:06;Saque;-105.00
21680;782;03/04/2019;20:34:44;Saque;-570.00
52349;782;15/07/2021;11:52:12;Saque;-100.00
69692;782;15/02/2022;07:38:02;Saque;-115.00
12765;15;27/12/2022;07:25:46;Saque;-225.00
24592;15;29/12/2022;23:40:22;Saque;-650.00
29490;15;30/12/2022;00:00:00;Saque;-340.00
17546;527;28/08/2020;13:21:26;Saque;-430.00
53568;527;03/12/2020;09:09:39;Saque;-220.00
54494;527;03/12/2020;14:05:03;Saque;-100.00
63644;527;19/04/2021;16:54:18;Saque;-145.00
46412;783;27/11/2017;18:34:07;Saque;-995.00
51490;783;13/11/2018;05:54:46;Saque;-425.00
68914;783;07/01/2019;19:33:10;Saque;-190.00
30688;16;20/11/2021;01:38:04;Saque;-140.00
37624;272;29/12/2022;15:44:25;Saque;-95.00
59712;272;29/12/2022;00:00:00;Saque;-280.00
13562;528;12/04/2016;14:38:46;Saque;-50.00
52966;528;13/03/2017;14:40:27;Saque;-650.00
55668;528;25/03/2017;13:21:43;Saque;-220.00
60003;528;04/04/2017;18:58:47;Saque;-300.00
69033;528;03/09/2018;02:07:07;Saque;-190.00
19616;784;27/12/2022;17:51:14;Saque;-265.00
36328;784;29/12/2022;23:59:55;Saque;-170.00
37823;784;29/12/2022;23:59:59;Saque;-615.00
40577;784;29/12/2022;23:59:59;Saque;-710.00
41410;784;29/12/2022;00:00:00;Saque;-195.00
12574;17;27/04/2022;14:40:05;Saque;-60.00
2893;273;03/08/2020;12:52:31;Saque;-380.00
50087;273;29/12/2022;22:26:18;Saque;-345.00
23691;529;03/09/2020;03:56:46;Saque;-70.00
27407;529;19/10/2020;17:51:35;Saque;-25.00
27619;529;24/10/2020;19:43:59;Saque;-290.00
14532;785;23/06/2021;16:22:14;Saque;-110.00
21278;785;10/08/2021;04:13:31;Saque;-105.00
68099;785;29/12/2022;23:59:54;Saque;-85.00
33798;18;29/12/2022;21:48:02;Saque;-655.00
37757;18;29/12/2022;23:59:38;Saque;-1335.00
33902;274;29/12/2022;05:13:37;Saque;-1590.00
42236;274;30/12/2022;00:00:01;Saque;-530.00
2013;530;24/03/2018;01:16:28;Saque;-245.00
13414;530;20/04/2018;15:28:40;Saque;-115.00
65181;530;02/03/2019;08:38:49;Saque;-425.00
52088;786;30/12/2022;00:00:00;Saque;-585.00
57126;786;30/12/2022;00:00:01;Saque;-60.00
1651;19;12/10/2019;15:37:40;Saque;-140.00
10991;19;23/10/2019;20:18:30;Saque;-245.00
43122;19;03/01/2022;21:40:24;Saque;-405.00
57514;19;29/12/2022;18:10:39;Saque;-155.00
58572;19;29/12/2022;19:12:34;Saque;-50.00
59582;19;29/12/2022;22:40:17;Saque;-120.00
70625;19;29/12/2022;23:59:59;Saque;-80.00
36169;275;29/12/2022;23:59:51;Saque;-335.00
44206;275;29/12/2022;23:59:58;Saque;-90.00
52892;275;30/12/2022;00:00:00;Saque;-60.00
50541;787;19/12/2022;00:41:24;Saque;-120.00
59395;787;29/12/2022;23:59:31;Saque;-80.00
25643;20;16/09/2022;11:20:18;Saque;-30.00
49327;20;15/11/2022;13:53:38;Saque;-65.00
35973;276;20/11/2022;04:27:43;Saque;-40.00
24369;532;09/03/2022;03:06:11;Saque;-190.00
17406;788;29/01/2022;18:58:24;Saque;-30.00
40208;788;07/12/2022;21:11:33;Saque;-180.00
3144;21;29/07/2016;18:59:45;Saque;-65.00
23424;21;28/10/2017;22:51:19;Saque;-25.00
29011;21;26/11/2017;18:43:52;Saque;-80.00
47439;21;23/07/2022;03:52:29;Saque;-215.00
48985;21;12/08/2022;02:31:29;Saque;-215.00
55260;21;15/09/2022;11:56:27;Saque;-195.00
18527;277;15/05/2015;01:27:09;Saque;-140.00
17385;533;12/12/2021;21:24:32;Saque;-205.00
46784;533;28/12/2022;08:13:22;Saque;-275.00
15662;789;21/05/2022;22:30:02;Saque;-205.00
41000;789;28/12/2022;10:51:46;Saque;-125.00
70082;789;30/12/2022;00:00:01;Saque;-190.00
5005;22;13/12/2020;15:10:03;Saque;-80.00
67390;22;30/12/2022;00:00:00;Saque;-60.00
34251;278;22/11/2022;21:46:11;Saque;-730.00
70173;278;29/12/2022;23:59:59;Saque;-120.00
71881;278;29/12/2022;23:59:59;Saque;-305.00
1171;534;12/02/2015;04:18:07;Saque;-680.00
4094;534;12/02/2015;23:57:42;Saque;-170.00
39044;534;27/09/2017;18:25:58;Saque;-130.00
19747;23;04/12/2016;06:04:00;Saque;-70.00
31337;23;20/03/2017;08:07:42;Saque;-70.00
35403;23;17/05/2018;16:04:51;Saque;-190.00
41421;23;03/07/2018;00:51:16;Saque;-235.00
18855;279;19/12/2022;15:28:48;Saque;-125.00
26131;279;29/12/2022;23:56:51;Saque;-85.00
33007;279;29/12/2022;23:59:59;Saque;-25.00
2685;535;10/09/2014;08:53:53;Saque;-230.00
42769;535;18/04/2020;09:49:32;Saque;-40.00
65869;535;11/01/2021;21:57:03;Saque;-55.00
2844;791;12/11/2015;09:41:52;Saque;-105.00
3563;791;13/11/2015;04:36:58;Saque;-490.00
7088;791;13/11/2015;10:20:55;Saque;-110.00
30009;791;19/07/2018;16:22:20;Saque;-35.00
63281;791;20/12/2022;15:39:21;Saque;-530.00
16839;24;09/10/2018;00:39:22;Saque;-70.00
49431;24;29/12/2022;19:38:27;Saque;-40.00
57412;24;29/12/2022;23:59:58;Saque;-195.00
3603;280;20/04/2018;13:51:55;Saque;-330.00
5471;280;18/09/2018;04:15:27;Saque;-135.00
6197;280;23/09/2018;02:03:43;Saque;-270.00
10769;280;25/09/2018;07:12:33;Saque;-110.00
11437;280;01/12/2018;05:08:13;Saque;-995.00
18976;280;23/01/2019;17:00:18;Saque;-635.00
22681;280;10/05/2019;23:26:59;Saque;-690.00
33674;280;13/09/2019;23:58:47;Saque;-175.00
39457;280;07/04/2020;14:25:44;Saque;-95.00
48412;280;03/10/2020;18:42:54;Saque;-425.00
50333;280;17/10/2020;08:07:07;Saque;-455.00
53248;280;18/10/2020;12:59:17;Saque;-35.00
56572;280;18/10/2020;18:10:47;Saque;-70.00
63302;280;30/08/2022;08:45:28;Saque;-105.00
51839;536;30/12/2022;00:00:01;Saque;-200.00
61545;792;29/12/2022;00:00:00;Saque;-90.00
10019;25;07/11/2022;16:35:36;Saque;-255.00
31281;25;29/12/2022;00:00:00;Saque;-870.00
33345;25;29/12/2022;00:00:00;Saque;-875.00
35094;281;29/12/2022;01:58:40;Saque;-50.00
70958;281;30/12/2022;00:00:01;Saque;-570.00
3929;537;27/03/2020;06:17:33;Saque;-455.00
17782;537;12/11/2020;08:26:38;Saque;-670.00
44925;537;19/10/2022;13:13:25;Saque;-255.00
67305;537;29/12/2022;23:24:33;Saque;-185.00
70829;793;30/12/2022;00:00:00;Saque;-225.00
4943;26;06/09/2012;00:50:16;Saque;-150.00
10865;26;30/09/2012;18:01:51;Saque;-55.00
28725;26;06/06/2013;22:41:36;Saque;-45.00
30225;26;08/10/2013;07:07:45;Saque;-130.00
37368;26;15/01/2014;14:28:33;Saque;-135.00
46435;26;07/07/2020;23:02:39;Saque;-85.00
65398;26;29/10/2020;01:52:08;Saque;-180.00
67346;26;14/11/2020;12:21:46;Saque;-75.00
8362;282;04/11/2017;22:49:52;Saque;-245.00
16477;282;20/11/2017;14:25:17;Saque;-155.00
32820;282;29/12/2022;23:28:30;Saque;-40.00
39350;282;29/12/2022;23:59:37;Saque;-435.00
46876;282;30/12/2022;00:00:00;Saque;-655.00
69312;282;30/12/2022;00:00:00;Saque;-95.00
23291;794;10/06/2021;22:46:54;Saque;-180.00
28129;794;13/06/2021;07:21:27;Saque;-475.00
41272;794;19/09/2021;12:01:04;Saque;-40.00
26056;27;29/12/2022;23:59:39;Saque;-95.00
42701;27;30/12/2022;00:00:00;Saque;-85.00
23210;283;29/01/2019;20:13:00;Saque;-900.00
39074;283;19/04/2019;11:22:04;Saque;-615.00
48379;283;09/06/2019;09:37:58;Saque;-435.00
63656;283;04/02/2020;16:05:13;Saque;-215.00
9830;539;06/05/2011;05:27:31;Saque;-630.00
18089;539;21/02/2012;16:07:17;Saque;-195.00
24017;539;24/02/2012;11:39:10;Saque;-175.00
45524;539;28/09/2012;11:37:29;Saque;-60.00
46015;539;27/10/2012;18:06:32;Saque;-80.00
51725;539;19/03/2013;23:24:46;Saque;-205.00
60734;539;02/02/2015;17:09:43;Saque;-140.00
62231;539;03/02/2015;17:05:27;Saque;-95.00
5485;795;29/03/2022;19:26:12;Saque;-285.00
26351;795;29/12/2022;00:00:00;Saque;-345.00
7169;28;27/04/2017;18:11:20;Saque;-35.00
31816;28;15/08/2017;01:35:04;Saque;-1335.00
39994;28;20/10/2017;06:43:53;Saque;-325.00
70497;28;24/11/2019;06:23:48;Saque;-305.00
3129;284;09/03/2020;04:54:36;Saque;-50.00
37031;540;12/01/2020;06:56:44;Saque;-675.00
37456;540;12/01/2020;08:45:25;Saque;-250.00
37681;540;12/01/2020;09:26:55;Saque;-185.00
42280;540;13/01/2020;08:38:43;Saque;-390.00
55719;540;15/05/2021;00:19:40;Saque;-595.00
57393;540;17/05/2021;05:12:46;Saque;-45.00
57605;540;17/05/2021;16:54:45;Saque;-355.00
71755;540;19/08/2021;04:14:57;Saque;-140.00
1177;796;29/11/2019;12:22:37;Saque;-130.00
4904;796;15/03/2020;15:02:54;Saque;-95.00
18721;796;01/04/2020;06:08:14;Saque;-900.00
25522;796;24/11/2020;09:42:44;Saque;-185.00
29600;796;23/12/2020;07:49:21;Saque;-140.00
52239;796;31/05/2022;23:30:29;Saque;-320.00
60745;796;13/07/2022;03:03:32;Saque;-1615.00
22968;29;23/06/2022;22:26:26;Saque;-70.00
8258;285;25/08/2017;02:45:09;Saque;-250.00
11944;285;29/12/2020;02:27:32;Saque;-45.00
17249;285;09/12/2022;06:58:57;Saque;-25.00
43416;285;29/12/2022;23:59:57;Saque;-910.00
46164;285;30/12/2022;00:00:01;Saque;-355.00
49423;285;30/12/2022;00:00:00;Saque;-395.00
5523;541;03/06/2019;03:39:03;Saque;-35.00
26073;541;14/12/2021;00:43:50;Saque;-20.00
57042;541;12/12/2022;12:30:58;Saque;-75.00
39711;797;30/12/2022;00:00:00;Saque;-40.00
49643;797;30/12/2022;00:00:00;Saque;-75.00
26752;30;12/03/2020;09:38:49;Saque;-180.00
54108;30;29/12/2022;19:10:45;Saque;-50.00
15265;286;22/11/2021;06:28:32;Saque;-680.00
15849;286;22/11/2021;14:45:19;Saque;-285.00
44216;286;06/05/2022;04:29:06;Saque;-395.00
57024;286;26/12/2022;18:46:39;Saque;-300.00
25019;542;25/07/2022;18:43:37;Saque;-35.00
54916;542;30/12/2022;00:00:01;Saque;-105.00
35248;798;11/05/2017;14:36:21;Saque;-500.00
51268;798;04/09/2017;21:05:59;Saque;-270.00
19754;31;29/10/2018;14:44:48;Saque;-205.00
30617;31;07/12/2018;12:42:10;Saque;-40.00
37663;31;04/02/2019;08:52:51;Saque;-105.00
47865;31;28/08/2021;22:37:22;Saque;-475.00
50032;31;29/08/2021;11:58:52;Saque;-990.00
16148;287;17/08/2022;22:47:49;Saque;-120.00
21273;287;13/09/2022;10:59:20;Saque;-105.00
61249;287;29/12/2022;23:59:59;Saque;-185.00
27328;543;08/08/2018;19:05:18;Saque;-110.00
48340;799;30/12/2022;00:00:01;Saque;-80.00
24722;32;07/07/2018;18:24:58;Saque;-20.00
31919;32;11/07/2018;03:38:21;Saque;-50.00
33771;32;29/12/2018;07:39:40;Saque;-190.00
36235;32;22/01/2019;16:30:06;Saque;-165.00
53669;32;15/04/2020;02:41:54;Saque;-95.00
6090;288;24/12/2018;08:10:36;Saque;-175.00
22399;288;10/09/2020;08:30:08;Saque;-80.00
31271;288;09/10/2021;10:10:29;Saque;-145.00
28695;544;07/07/2020;07:49:01;Saque;-770.00
4960;800;30/03/2015;23:37:58;Saque;-305.00
13086;800;14/11/2015;03:42:39;Saque;-85.00
22727;800;21/11/2015;05:30:06;Saque;-280.00
28564;800;04/02/2016;06:24:15;Saque;-225.00
54850;800;29/12/2022;21:53:19;Saque;-185.00
67087;800;30/12/2022;00:00:00;Saque;-50.00
31569;33;10/09/2022;02:20:44;Saque;-60.00
42251;33;30/12/2022;00:00:01;Saque;-135.00
55700;33;30/12/2022;00:00:00;Saque;-210.00
32461;289;29/12/2022;00:00:00;Saque;-85.00
54549;289;29/12/2022;23:59:59;Saque;-60.00
16271;545;29/08/2020;13:16:13;Saque;-100.00
23930;545;12/09/2020;05:21:05;Saque;-40.00
27628;545;12/09/2020;11:28:42;Saque;-150.00
13581;801;28/02/2021;14:23:35;Saque;-110.00
43907;801;10/12/2022;08:58:12;Saque;-25.00
60728;801;29/12/2022;23:59:58;Saque;-40.00
65110;801;29/12/2022;00:00:00;Saque;-290.00
21492;34;30/12/2022;00:00:01;Saque;-50.00
22413;34;30/12/2022;00:00:00;Saque;-125.00
29138;34;30/12/2022;00:00:01;Saque;-20.00
34974;34;30/12/2022;00:00:00;Saque;-175.00
31856;290;02/03/2022;08:43:52;Saque;-135.00
69965;290;29/12/2022;23:59:58;Saque;-1280.00
16243;546;22/02/2022;01:26:42;Saque;-290.00
27647;546;29/12/2022;17:01:39;Saque;-490.00
52098;546;30/12/2022;00:00:00;Saque;-495.00
7370;802;06/01/2016;07:32:44;Saque;-335.00
11969;802;25/05/2016;16:47:11;Saque;-165.00
21000;802;01/10/2016;19:55:06;Saque;-430.00
55631;802;15/06/2017;19:16:44;Saque;-570.00
18187;35;12/04/2016;07:10:29;Saque;-350.00
28053;35;08/01/2017;10:04:56;Saque;-105.00
28896;35;09/01/2017;21:46:43;Saque;-355.00
30980;35;23/02/2017;00:46:15;Saque;-80.00
32015;35;05/03/2017;17:39:18;Saque;-120.00
46599;35;17/04/2017;13:42:02;Saque;-120.00
50351;35;06/05/2017;19:37:53;Saque;-105.00
67970;291;06/09/2022;14:04:56;Saque;-165.00
38530;547;03/01/2016;07:00:55;Saque;-90.00
54014;547;23/08/2016;12:13:43;Saque;-190.00
55485;547;07/09/2016;03:37:19;Saque;-245.00
69582;547;10/01/2018;02:06:00;Saque;-770.00
47915;803;29/12/2022;00:00:00;Saque;-845.00
54939;803;29/12/2022;00:00:00;Saque;-145.00
64917;803;29/12/2022;00:00:00;Saque;-220.00
16301;36;04/09/2016;23:07:12;Saque;-50.00
48750;36;18/12/2022;18:34:56;Saque;-360.00
28130;292;01/12/2020;21:54:52;Saque;-295.00
50760;292;11/05/2022;15:18:53;Saque;-885.00
60412;292;03/11/2022;11:51:00;Saque;-135.00
18951;548;29/12/2022;23:59:15;Saque;-185.00
58312;548;29/12/2022;00:00:00;Saque;-340.00
61548;548;29/12/2022;23:59:59;Saque;-295.00
14490;804;24/10/2013;22:09:16;Saque;-95.00
17915;804;18/11/2013;11:15:17;Saque;-680.00
45181;804;25/09/2014;05:39:32;Saque;-160.00
57493;804;19/10/2015;06:18:50;Saque;-155.00
69514;37;30/12/2022;00:00:00;Saque;-525.00
3437;293;13/11/2018;11:18:11;Saque;-65.00
29736;293;07/11/2020;10:52:09;Saque;-295.00
39687;549;01/12/2020;17:58:54;Saque;-175.00
62193;805;30/12/2022;00:00:01;Saque;-385.00
64211;805;30/12/2022;00:00:01;Saque;-810.00
69255;805;30/12/2022;00:00:01;Saque;-445.00
34343;38;05/12/2022;20:21:14;Saque;-80.00
1567;294;13/05/2021;20:07:46;Saque;-95.00
12404;294;27/05/2022;19:04:55;Saque;-40.00
49443;294;29/12/2022;23:59:47;Saque;-180.00
13839;550;10/04/2022;11:47:01;Saque;-50.00
24862;550;19/07/2022;11:19:30;Saque;-160.00
41548;550;30/12/2022;00:00:00;Saque;-170.00
53947;295;17/11/2022;18:51:21;Saque;-650.00
19060;551;10/08/2018;03:14:00;Saque;-225.00
25574;551;23/02/2019;10:10:45;Saque;-915.00
10808;807;29/12/2022;21:19:57;Saque;-140.00
24402;807;29/12/2022;23:59:43;Saque;-45.00
27353;807;29/12/2022;23:59:53;Saque;-190.00
5223;40;11/10/2015;22:45:07;Saque;-65.00
31042;40;13/06/2022;01:50:30;Saque;-95.00
20644;296;16/01/2017;16:26:58;Saque;-175.00
40533;296;13/12/2018;16:17:35;Saque;-25.00
46346;552;29/12/2022;23:59:58;Saque;-285.00
49451;552;29/12/2022;00:00:00;Saque;-90.00
14941;808;21/04/2017;09:44:47;Saque;-200.00
14748;41;22/11/2020;07:54:13;Saque;-925.00
54732;41;30/12/2022;00:00:00;Saque;-100.00
7306;297;10/09/2018;08:11:07;Saque;-180.00
8694;297;20/09/2018;20:04:58;Saque;-100.00
20940;297;16/01/2019;07:26:27;Saque;-200.00
27168;297;01/08/2019;07:44:55;Saque;-285.00
52645;297;05/02/2020;04:52:40;Saque;-230.00
53554;297;06/02/2020;09:30:52;Saque;-340.00
55376;297;15/02/2020;22:56:47;Saque;-200.00
58324;297;17/02/2020;23:38:12;Saque;-605.00
1896;553;18/11/2017;19:37:05;Saque;-160.00
13851;553;30/03/2018;07:19:51;Saque;-295.00
51457;553;07/01/2021;10:12:56;Saque;-235.00
1343;809;27/05/2021;07:00:18;Saque;-105.00
50967;809;07/11/2022;12:37:44;Saque;-65.00
68839;42;26/09/2021;04:49:58;Saque;-580.00
2897;298;22/05/2012;08:40:21;Saque;-165.00
23855;298;12/06/2013;07:50:41;Saque;-225.00
11005;554;13/12/2022;14:24:58;Saque;-320.00
43262;554;29/12/2022;23:59:59;Saque;-65.00
1453;810;27/09/2017;01:11:36;Saque;-200.00
2665;810;05/10/2017;14:21:06;Saque;-50.00
20497;810;12/02/2020;05:39:01;Saque;-25.00
30064;810;17/03/2020;08:16:08;Saque;-165.00
4192;43;23/10/2016;19:16:25;Saque;-45.00
6273;43;25/10/2016;23:46:43;Saque;-145.00
28131;43;03/06/2020;11:37:40;Saque;-320.00
38103;43;26/11/2021;04:35:19;Saque;-450.00
43010;43;21/12/2022;06:13:23;Saque;-420.00
52504;43;29/12/2022;23:55:18;Saque;-300.00
71378;43;29/12/2022;00:00:00;Saque;-475.00
25109;299;28/12/2022;18:48:53;Saque;-40.00
27641;299;29/12/2022;19:09:24;Saque;-185.00
5382;555;30/09/2012;10:36:44;Saque;-45.00
10665;811;01/05/2020;13:51:44;Saque;-105.00
12561;811;17/05/2020;01:59:33;Saque;-485.00
14588;811;16/06/2020;17:46:11;Saque;-490.00
17212;811;24/06/2020;08:28:12;Saque;-300.00
17737;811;10/07/2020;13:05:11;Saque;-335.00
22953;811;02/09/2020;16:29:23;Saque;-170.00
29860;811;09/10/2020;01:45:58;Saque;-420.00
63844;811;27/06/2022;06:43:44;Saque;-460.00
24868;44;24/11/2021;20:10:37;Saque;-75.00
1735;300;27/06/2021;20:21:36;Saque;-610.00
14559;300;08/09/2022;08:23:00;Saque;-220.00
24078;300;17/12/2022;05:35:44;Saque;-45.00
68101;300;29/12/2022;23:59:59;Saque;-125.00
